sample_alias	tax_id	scientific_name	common_name	anonymized_name	sample_title	sample_description	COUNTRY	tissue_type	Source	DNA_Designation	DNA_Accno_source	DNA_VARNAME	DNA_VARNAME_unicode	DNA_Othername	Genetic_Stock_Accno	Genetic_stock_Designation(varname)	Variety Group (Tree)

IRIS_313-15896	4530	Oryza sativa	rice	IRIS 313-15896	WGS sequence of Rice line IRIS 313-15896	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Colombia	leaf	IRRI	FEDEARROZ 50::G1-1		FEDEARROZ 50	FEDEARROZ 50		IRGC 126957	FEDEARROZ 50::G1	Indica
IRIS_313-15897	4530	Oryza sativa	rice	IRIS 313-15897	WGS sequence of Rice line IRIS 313-15897	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	China	leaf	IRRI	SANHUANGZHAN NO 2::G1-1		SANHUANGZHAN NO 2	SANHUANGZHAN NO 2		IRGC 126968	SANHUANGZHAN NO 2::G1	Indica
IRIS_313-15898	4530	Oryza sativa	rice	IRIS 313-15898	WGS sequence of Rice line IRIS 313-15898	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Philippines	leaf	IRRI	IR 4630-22-2-5-1-3::G1-1		IR 4630-22-2-5-1-3	IR 4630-22-2-5-1-3		IRGC 126962	IR 4630-22-2-5-1-3::G1	Indica
IRIS_313-15899	4530	Oryza sativa	rice	IRIS 313-15899	WGS sequence of Rice line IRIS 313-15899	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Philippines	leaf	IRRI	IR 45427-2B-2-2B-1-1::G1-1		IR 45427-2B-2-2B-1-1	IR 45427-2B-2-2B-1-1		IRGC 126961	IR 45427-2B-2-2B-1-1::G1	Indica
IRIS_313-15900	4530	Oryza sativa	rice	IRIS 313-15900	WGS sequence of Rice line IRIS 313-15900	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Philippines	leaf	IRRI	IR 07F287::G1-1		IR 84196-12-32(SAMBHA MAHSURI + SUB1)	IR 84196-12-32(SAMBHA MAHSURI + SUB1)		IRGC 126960	IR 07F287::G1	Indica
IRIS_313-15901	4530	Oryza sativa	rice	IRIS 313-15901	WGS sequence of Rice line IRIS 313-15901	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Philippines	leaf	IRRI	IR 77298-14-1-2-10::G1-1		IR 77298-14-1-2-10	IR 77298-14-1-2-10		IRGC 126964	IR 77298-14-1-2-10::G1	Indica
IRIS_313-15902	4530	Oryza sativa	rice	IRIS 313-15902	WGS sequence of Rice line IRIS 313-15902	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Philippines	leaf	IRRI	IRRI 146::G1-1		IR 77186-122-2-2-3	IR 77186-122-2-2-3		IRGC 126966	IRRI 146::G1	Indica
IRIS_313-15903	4530	Oryza sativa	rice	IRIS 313-15903	WGS sequence of Rice line IRIS 313-15903	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	Brazil	leaf	IRRI	IAC 165::IRGC 82775-2-1		IAC 165	IAC 165			IAC 165::IRGC 82775-2	Indica
IRIS_313-15904	4530	Oryza sativa	rice	IRIS 313-15904	WGS sequence of Rice line IRIS 313-15904	"These data have been produced as part of The 3000 Rice Genome Project, which is an international effort to resequence a core collection of >3000 rice accessions from 92 countries. With the release of the sequencing data, the project calls for the global rice community to take advantage of this data as a foundation for establishing a global, public rice genetic/genomic database and information platform for advancing rice breeding technology for future rice improvement. Please see the here http://dx.doi.org/10.5524/200001 for further details."	South Korea	leaf	IRRI	JINBUBYEO::G1-1		JINBUBYEO	JINBUBYEO		IRGC 126967	JINBUBYEO::G1	Temperate japonica
